,Entity,Code
0,Afghanistan,AFG
1,Albania,ALB
2,Algeria,DZA
3,Andorra,AND
4,Angola,AGO
5,Antigua and Barbuda,ATG
6,Argentina,ARG
7,Armenia,ARM
8,Australia,AUS
9,Austria,AUT
10,Azerbaijan,AZE
11,Bahamas,BHS
12,Bahrain,BHR
13,Bangladesh,BGD
14,Barbados,BRB
15,Belarus,BLR
16,Belgium,BEL
17,Belize,BLZ
18,Benin,BEN
19,Bhutan,BTN
20,Bolivia,BOL
21,Bosnia and Herzegovina,BIH
22,Botswana,BWA
23,Brazil,BRA
24,Brunei,BRN
25,Bulgaria,BGR
26,Burkina Faso,BFA
27,Burundi,BDI
28,Cambodia,KHM
29,Cameroon,CMR
30,Canada,CAN
31,Cape Verde,CPV
32,Central African Republic,CAF
33,Chad,TCD
34,Chile,CHL
35,China,CHN
36,Colombia,COL
37,Comoros,COM
38,Congo,COG
39,Cook Islands,COK
40,Costa Rica,CRI
41,Cote d'Ivoire,CIV
42,Croatia,HRV
43,Cuba,CUB
44,Cyprus,CYP
45,Czech Republic,CZE
46,Democratic Republic of Congo,COD
47,Denmark,DNK
48,Djibouti,DJI
49,Dominica,DMA
50,Dominican Republic,DOM
51,Ecuador,ECU
52,Egypt,EGY
53,El Salvador,SLV
54,Equatorial Guinea,GNQ
55,Eritrea,ERI
56,Estonia,EST
57,Ethiopia,ETH
58,Fiji,FJI
59,Finland,FIN
60,France,FRA
61,Gabon,GAB
62,Gambia,GMB
63,Georgia,GEO
64,Germany,DEU
65,Ghana,GHA
66,Greece,GRC
67,Grenada,GRD
68,Guatemala,GTM
69,Guinea,GIN
70,Guinea-Bissau,GNB
71,Guyana,GUY
72,Haiti,HTI
73,Honduras,HND
74,Hungary,HUN
75,Iceland,ISL
76,India,IND
77,Indonesia,IDN
78,Iran,IRN
79,Iraq,IRQ
80,Ireland,IRL
81,Israel,ISR
82,Italy,ITA
83,Jamaica,JAM
84,Japan,JPN
85,Jordan,JOR
86,Kazakhstan,KAZ
87,Kenya,KEN
88,Kiribati,KIR
89,Kuwait,KWT
90,Kyrgyzstan,KGZ
91,Laos,LAO
92,Latvia,LVA
93,Lebanon,LBN
94,Lesotho,LSO
95,Liberia,LBR
96,Libya,LBY
97,Lithuania,LTU
98,Luxembourg,LUX
99,Macedonia,MKD
100,Madagascar,MDG
101,Malawi,MWI
102,Malaysia,MYS
103,Maldives,MDV
104,Mali,MLI
105,Malta,MLT
106,Marshall Islands,MHL
107,Mauritania,MRT
108,Mauritius,MUS
109,Mexico,MEX
110,Micronesia (country),FSM
111,Moldova,MDA
112,Mongolia,MNG
113,Montenegro,MNE
114,Morocco,MAR
115,Mozambique,MOZ
116,Myanmar,MMR
117,Namibia,NAM
118,Nauru,NRU
119,Nepal,NPL
120,Netherlands,NLD
121,New Zealand,NZL
122,Nicaragua,NIC
123,Niger,NER
124,Nigeria,NGA
125,Niue,NIU
126,North Korea,PRK
127,Norway,NOR
128,Oman,OMN
129,Pakistan,PAK
130,Palau,PLW
131,Panama,PAN
132,Papua New Guinea,PNG
133,Paraguay,PRY
134,Peru,PER
135,Philippines,PHL
136,Poland,POL
137,Portugal,PRT
138,Qatar,QAT
139,Romania,ROU
140,Russia,RUS
141,Rwanda,RWA
142,Saint Kitts and Nevis,KNA
143,Saint Lucia,LCA
144,Saint Vincent and the Grenadines,VCT
145,Samoa,WSM
146,Sao Tome and Principe,STP
147,Saudi Arabia,SAU
148,Senegal,SEN
149,Serbia,SRB
150,Seychelles,SYC
151,Sierra Leone,SLE
152,Singapore,SGP
153,Slovakia,SVK
154,Slovenia,SVN
155,Solomon Islands,SLB
156,Somalia,SOM
157,South Africa,ZAF
158,South Korea,KOR
159,Spain,ESP
160,Sri Lanka,LKA
161,Sudan (former),
162,Suriname,SUR
163,Swaziland,SWZ
164,Sweden,SWE
165,Switzerland,CHE
166,Syria,SYR
167,Tajikistan,TJK
168,Tanzania,TZA
169,Thailand,THA
170,Timor,TLS
171,Togo,TGO
172,Tonga,TON
173,Trinidad and Tobago,TTO
174,Tunisia,TUN
175,Turkey,TUR
176,Turkmenistan,TKM
177,Tuvalu,TUV
178,Uganda,UGA
179,Ukraine,UKR
180,United Arab Emirates,ARE
181,UK,GBR
182,USA,USA
183,Uruguay,URY
184,Uzbekistan,UZB
185,Vanuatu,VUT
186,Venezuela,VEN
187,Vietnam,VNM
188,Yemen,YEM
189,Zambia,ZMB
190,Zimbabwe,ZWE
191,Hong Kong,HK
192,Soviet Union,USSR
193,Aruba,ARB
194,Taiwan,TW
